cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
201978,1978,Canada,20,CAN,0,1,0,0,0,0.7685185074806213,0.01178400032222271,0,79,0.019325587898492813,23964,18221.380859375,436657.15625,14,10,1,0,0.009335036389529705,0.5046675205230713,0.7526328563690186,0.3333333432674408,0.814474880695343
201979,1979,Canada,20,CAN,0,1,0,0,0,0.6190476417541504,0.011889000423252583,0,79,0.017193634063005447,24202.19921875,19015.869140625,460225.84375,14,10,1,1,0.009285366162657738,0.5046426653862,0.7821773290634155,0.3333333432674408,0.8366332650184631
201980,1980,Canada,20,CAN,0,1,0,0,0,0.6310679316520691,0.011908000335097313,0,82,0.01621849276125431,24516.30078125,18984.44921875,465428.46875,14,10,1,1,0.009596945717930794,0.5047984719276428,0.7354381084442139,0.3333333432674408,0.8015788197517395
201981,1981,Canada,20,CAN,0,1,0,0,0,0.4029850661754608,0.011827000416815281,0,81,0.017027070745825768,24820.400390625,19547.1796875,485168.8125,15,10,1,0,0.008985504508018494,0.5044927597045898,0.7235646843910217,0.3333333432674408,0.7926737070083618
201982,1982,Canada,20,CAN,0,1,0,0,0,0.29374998807907104,0.011247999966144562,0,81,0.019711090251803398,25117.400390625,18356.83984375,461076.09375,15,10,1,0,0.008703025989234447,0.5043514966964722,0.6598746180534363,0.3333333432674408,0.7449061274528503
201983,1983,Canada,20,CAN,0,1,0,0,0,0.3557046949863434,0.011376000009477139,0,81,0.01951417699456215,25367,18781.169921875,476421.9375,15,10,1,0,0.009422755800187588,0.504711389541626,0.7217286825180054,0.3333333432674408,0.7912967205047607
201984,1984,Canada,20,CAN,0,1,0,0,0,0.2781457006931305,0.011726999655365944,0,82,0.01956363581120968,25607.599609375,19875.560546875,508965.40625,15,10,1,0,0.007206765469163656,0.5036033987998962,0.80851811170578,0.3333333432674408,0.8563888072967529
201985,1985,Canada,20,CAN,0,1,0,0,0,0.32258063554763794,0.011270999908447266,0,83,0.01710311695933342,25842.599609375,20700.060546875,534943.375,15,10,1,0,0.007141230162233114,0.5035706162452698,0.7701097726821899,0.3333333432674408,0.8275825381278992
201986,1986,Canada,20,CAN,0,1,0,0,0,0.25161290168762207,0.011249000206589699,0,85,0.01732841692864895,26100.599609375,21003.1796875,548195.5625,15,10,1,0,0.007031504530459642,0.5035157799720764,0.7407200336456299,0.3333333432674408,0.8055402636528015
201987,1987,Canada,20,CAN,0,1,0,0,0,0.23239436745643616,0.011363999918103218,0,86,0.017659511417150497,26449.900390625,21731.900390625,574806.625,15,10,1,1,0.006861405912786722,0.5034307241439819,0.7221257090568542,0.3333333432674408,0.7915944457054138
